,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
46,0.0022990942001342774,0.001344756606387492,0.0010991334915161134,0.0005382271457147446,0.03162277660168379,1000.0,rbf,"{'C': 0.03162277660168379, 'gamma': 1000.0, 'kernel': 'rbf'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
47,0.001699972152709961,0.0007824750282273881,0.0009984016418457032,0.0007713415590255876,0.03162277660168379,1000.0,poly,"{'C': 0.03162277660168379, 'gamma': 1000.0, 'kernel': 'poly'}",0.5,0.625,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.6267857142857143,0.09988833050676428,103
48,0.00210719108581543,0.00029760718488654463,0.0007906436920166015,0.0005973009050286664,0.03162277660168379,1000.0,rbf,"{'C': 0.03162277660168379, 'gamma': 1000.0, 'kernel': 'rbf'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
49,0.0020483732223510742,0.0020290891694060725,0.0009989023208618164,0.0010946494805511556,0.03162277660168379,1000.0,sigmoid,"{'C': 0.03162277660168379, 'gamma': 1000.0, 'kernel': 'sigmoid'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
50,0.001611638069152832,0.0006523008761051303,0.0006867647171020508,0.00045124714546973885,1.0,0.001,linear,"{'C': 1.0, 'gamma': 0.001, 'kernel': 'linear'}",0.625,0.625,0.7142857142857143,0.5714285714285714,1.0,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.7392857142857142,0.13905658809951274,14
51,0.002190089225769043,0.0015418635113677288,0.001397848129272461,0.0006645205527988203,1.0,0.001,rbf,"{'C': 1.0, 'gamma': 0.001, 'kernel': 'rbf'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
52,0.0015990495681762694,0.0006631694738679422,0.0004998207092285156,0.0004998211004513696,1.0,0.001,poly,"{'C': 1.0, 'gamma': 0.001, 'kernel': 'poly'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
53,0.0018992662429809571,0.0009430647450894187,0.0005993366241455079,0.000489356498038821,1.0,0.001,rbf,"{'C': 1.0, 'gamma': 0.001, 'kernel': 'rbf'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
54,0.001399683952331543,0.0006625444352172856,0.0012990474700927735,0.0010037006904184548,1.0,0.001,sigmoid,"{'C': 1.0, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,33
55,0.0012993812561035156,0.0004575797670219568,0.0011992931365966796,0.0009785375829586545,1.0,0.03162277660168379,linear,"{'C': 1.0, 'gamma': 0.03162277660168379, 'kernel': 'linear'}",0.625,0.625,0.7142857142857143,0.5714285714285714,1.0,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.7392857142857142,0.13905658809951274,14
56,0.0016997575759887696,0.0006392448162328855,0.0006988048553466797,0.00045747960485610406,1.0,0.03162277660168379,rbf,"{'C': 1.0, 'gamma': 0.03162277660168379, 'kernel': 'rbf'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.6535714285714287,0.06348710298082566,97
57,0.001998710632324219,0.0006320334054815248,0.0005997657775878906,0.0007996977267425949,1.0,0.03162277660168379,poly,"{'C': 1.0, 'gamma': 0.03162277660168379, 'kernel': 'poly'}",0.5,0.625,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.6267857142857143,0.09988833050676428,103
58,0.001800394058227539,0.0009789832677848558,0.0010975837707519532,0.00030101065013333464,1.0,0.03162277660168379,rbf,"{'C': 1.0, 'gamma': 0.03162277660168379, 'kernel': 'rbf'}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.6535714285714287,0.06348710298082566,97
59,0.0020991802215576173,0.0005385142686397178,0.000712132453918457,0.0004387998243084645,1.0,0.03162277660168379,sigmoid,"{'C': 1.0, 'gamma': 0.03162277660168379, 'kernel': 'sigmoid'}",1.0,0.625,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8482142857142856,0.10691940985659072,1
60,0.0019294261932373048,0.0005519266951074745,0.000869131088256836,0.0005407135234882731,1.0,1.0,linear,"{'C': 1.0, 'gamma': 1.0, 'kernel': 'linear'}",0.625,0.625,0.7142857142857143,0.5714285714285714,1.0,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.7392857142857142,0.13905658809951274,14
