,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0017027139663696289,0.0011033172967574653,0.000801539421081543,0.0004008116624338532,gini,2,auto,1,2,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",1.0,0.875,0.8571428571428571,0.7142857142857143,1.0,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.8160714285714287,0.12927634141241617,146
1,0.0007973909378051758,0.0003987376390303651,0.0004999876022338867,0.0006705061807698893,gini,2,auto,1,2,random,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",1.0,0.75,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8178571428571428,0.10885536181520122,117
2,0.0005997657775878906,0.0004897073297012211,0.00019991397857666016,0.0003998279891415005,gini,2,auto,1,5,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",1.0,0.75,0.8571428571428571,1.0,1.0,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.8464285714285715,0.13175619104069083,25
3,0.000599813461303711,0.0004897457332026785,0.0003995418548583984,0.0004893369363836602,gini,2,auto,1,5,random,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",1.0,0.75,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.8571428571428571,0.7142857142857143,0.7464285714285713,0.15357142857142858,543
4,0.0008014917373657226,0.0006005749152529745,0.0002998828887939453,0.00045807905558248926,gini,2,auto,1,10,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",1.0,0.75,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.775,0.11299494299683123,391
5,0.0006996870040893554,0.0006402923928738249,0.00029776096343994143,0.00045486784010590484,gini,2,auto,1,10,random,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",1.0,0.75,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8178571428571428,0.10885536181520122,117
6,0.0005995035171508789,0.0004894933781237304,0.0004973173141479492,0.000497355962082126,gini,2,auto,2,2,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",1.0,0.625,0.8571428571428571,0.7142857142857143,1.0,0.5714285714285714,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,0.8196428571428571,0.14949959047107925,86
7,0.0006999015808105469,0.0006400580769596831,0.00019974708557128905,0.00039949418537142597,gini,2,auto,2,2,random,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",0.75,0.625,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.7803571428571427,0.12217470345069516,333
8,0.0007996320724487305,0.00039988572292527693,0.00040073394775390624,0.0004907986656532369,gini,2,auto,2,5,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",1.0,0.625,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.7625,0.12165158093036497,438
9,0.0005993366241455079,0.0004893568000534955,0.00039992332458496096,0.0004898042090126898,gini,2,auto,2,5,random,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",1.0,0.625,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,1.0,0.8571428571428571,0.5714285714285714,0.7767857142857142,0.15304102757904162,365
10,0.0005994081497192383,0.0004894148374256413,0.0002998828887939453,0.00045807874535526194,gini,2,auto,2,10,best,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",0.75,0.625,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.7517857142857142,0.133737959595377,487
