,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0006995201110839844,0.0004579438907793392,0.0010994911193847657,0.0005390628171861048,auto,1,1,"{'algorithm': 'auto', 'n_neighbors': 1, 'p': 1}",0.75,0.625,0.7142857142857143,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7803571428571429,0.1041394522273095,37
1,0.0004010200500488281,0.0004911511846307911,0.0012976884841918944,0.0006401566060503873,auto,1,2,"{'algorithm': 'auto', 'n_neighbors': 1, 'p': 2}",0.75,0.75,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.7499999999999999,0.10594569267279517,53
2,0.0004997491836547851,0.0004997493701947388,0.0010994911193847657,0.00029201846273390204,auto,2,1,"{'algorithm': 'auto', 'n_neighbors': 2, 'p': 1}",0.875,0.5,0.7142857142857143,0.5714285714285714,1.0,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.7375,0.15153340373983418,57
3,0.0010022401809692382,3.6565202789333267e-06,0.0011960268020629883,0.00039972234310894943,auto,2,2,"{'algorithm': 'auto', 'n_neighbors': 2, 'p': 2}",0.75,0.625,0.7142857142857143,0.5714285714285714,1.0,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.7375,0.1292763414124162,57
4,0.0007976531982421875,0.0008701091202043059,0.0011019468307495116,0.00029945835657411193,auto,3,1,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1}",1.0,0.625,0.8571428571428571,0.7142857142857143,1.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8053571428571427,0.12227905939835707,33
5,0.0006018877029418945,0.0006646617758469212,0.001097702980041504,0.0002975398998669071,auto,3,2,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2}",0.75,0.75,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7785714285714285,0.06546536707079767,41
6,0.0007021427154541016,0.00045970418521541735,0.0013972759246826173,0.0004874259215890681,auto,4,1,"{'algorithm': 'auto', 'n_neighbors': 4, 'p': 1}",1.0,0.625,0.8571428571428571,0.7142857142857143,1.0,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8196428571428571,0.1191086153260878,21
7,0.0005028486251831054,0.0005028486636176575,0.0016954421997070312,0.0006394043126665893,auto,4,2,"{'algorithm': 'auto', 'n_neighbors': 4, 'p': 2}",1.0,0.75,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8464285714285713,0.09589801130069679,5
8,0.0007978439331054688,0.0003989922092087735,0.0013016223907470702,0.0008992292946475534,auto,5,1,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1}",1.0,0.625,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8339285714285714,0.11407625895488883,17
9,0.0003003120422363281,0.0004588128300819098,0.0015007972717285157,0.0004961309814641194,auto,5,2,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2}",0.75,0.75,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.75,0.055328333517248786,49
10,0.0005998611450195312,0.0006628257418456723,0.0012991905212402343,0.00045822488875267694,auto,6,1,"{'algorithm': 'auto', 'n_neighbors': 6, 'p': 1}",1.0,0.625,0.8571428571428571,0.7142857142857143,1.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8053571428571429,0.12227905939835707,29
11,0.0011014461517333985,0.0006990577464017207,0.0012990474700927735,0.0006409679170678774,auto,6,2,"{'algorithm': 'auto', 'n_neighbors': 6, 'p': 2}",0.75,0.75,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7642857142857142,0.06226998490772388,45
12,0.0004997014999389649,0.000499701527240104,0.0012989521026611328,0.0006392980587463662,auto,7,1,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 1}",1.0,0.75,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8464285714285713,0.09589801130069679,5
13,0.00020003318786621094,0.0006000995635986328,0.0016997575759887696,0.0011800519855757635,auto,7,2,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 2}",0.625,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6678571428571429,0.059333027592271985,65
